MMS Id,Permanent Call Number,Library Name,Location Name,Base Status,Title,Description,Barcode,Scanned Barcode,Retention Commitment,Notes
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.3,0123500757943,39097014664024,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.35,0123500758271,39097014664032,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.34,0123500758263,39097014664040,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.33,0123500758255,39097014664057,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.32,0123500758248,39097014664065,,
993525510101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.31,0123500758230,39097014664073,,
993831190101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.30,0123500758222,39097014664081,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.36,0123500758289,39097014664099,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.37,0123500758297,39097014664107,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.38,0123500758305,39097014664115,,
993731460101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.39,0123500758313,39097014664123,,
998803820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.4,0123500757968,39097014664131,,
998803820101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.40,0123500758321,39097014664149,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.41,0123500758339,39097014664156,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.42,0123500758347,39097014664164,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.43,0123500758354,39097014664172,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.46,0123500758362,39097014664180,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.47,0123500758396,39097014664198,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.5,0123500757976,39097014664206,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.50,0123500758404,39097014664214,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.54,0123500758438,39097014664222,,
995310640101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.55,0123500758479,39097014664230,,
996166480101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.56,0123500758487,39097014664248,,
996166480101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.57,0123500758495,39097014664255,,
996166480101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.58,0123500758503,39097014664263,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.59,0123500758511,39097014664289,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.6,0123500757984,39097014664297,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.60,0123500758529,39097014664305,,
997551220101921,+ DS133 .A44,Main Library,Stacks,Item in place,Allgemeine Zeitung des Judenthums.,v.61,0123500758537,39097014664313,,
